Hight,plotnost
80000.0,1.8458e-05
82500.0,1.25378244746786e-05
85000.0,8.272611584367598e-06
87500.0,5.340504337789724e-06
90000.0,3.4196457436677113e-06
92500.0,2.1884568344785874e-06
95000.0,1.3842996786093256e-06
97500.0,8.76041580227111e-07
100000.0,5.558825419342869e-07
102500.0,3.569605549253057e-07
105000.0,2.3118146773285765e-07
107500.0,1.4683911992569466e-07
110000.0,9.340349999999999e-08
112500.0,6.1971577809214e-08
115000.0,4.448729793243492e-08
117500.0,3.337454722608999e-08
120000.0,2.5070258203998457e-08
122500.0,1.910023187991143e-08
125000.0,1.498875284247758e-08
127500.0,1.2079422634935972e-08
130000.0,9.750688559030913e-09
132500.0,7.81921289586907e-09
135000.0,6.296693948012707e-09
137500.0,5.142372186285146e-09
140000.0,4.24614e-09
142500.0,3.5103348069267663e-09
145000.0,2.9056127347056707e-09
147500.0,2.4195941148743225e-09
150000.0,2.0381714522149195e-09
152500.0,1.7458933254851667e-09
155000.0,1.5243396869035687e-09
157500.0,1.348543427622569e-09
160000.0,1.1950567717745052e-09
162500.0,1.0582078248622942e-09
165000.0,9.40223105015216e-10
167500.0,8.40692499575508e-10
170000.0,7.557319999999998e-10
172500.0,6.816773525425179e-10
175000.0,6.166719878815763e-10
177500.0,5.593214174003e-10
180000.0,5.083831701770085e-10
182500.0,4.6273246246178056e-10
185000.0,4.213882143386068e-10
187500.0,3.836832518562568e-10
190000.0,3.4914452807897106e-10
192500.0,3.184198100799245e-10
195000.0,2.92618770970975e-10
197500.0,2.712811106302314e-10
200000.0,2.51904e-10
202500.0,2.3251757786870808e-10
205000.0,2.1382987699606704e-10
207500.0,1.971420779335111e-10
210000.0,1.8261330259382915e-10
212500.0,1.6952459292642433e-10
215000.0,1.573631319450973e-10
217500.0,1.4612648770669063e-10
220000.0,1.3586467682810475e-10
222500.0,1.2650495852237405e-10
225000.0,1.1792033236921615e-10
227500.0,1.1001310668320507e-10
230000.0,1.0272400000000002e-10
232500.0,9.599689175120264e-11
235000.0,8.97780368732816e-11
237500.0,8.401442905014469e-11
240000.0,7.865522966844122e-11
242500.0,7.365135689725173e-11
245000.0,6.897244491095744e-11
247500.0,6.462978999277779e-11
250000.0,6.063439652131444e-11
252500.0,5.695344940876489e-11
255000.0,5.353493214243939e-11
257500.0,5.0343785740848e-11
260000.0,4.73671e-11
262500.0,4.4592876610082276e-11
265000.0,4.200684387767145e-11
267500.0,3.959427726172088e-11
270000.0,3.734218041766191e-11
272500.0,3.52388890420189e-11
275000.0,3.3273127521716946e-11
277500.0,3.143441111014145e-11
280000.0,2.971250840688047e-11
282500.0,2.8098269531840584e-11
285000.0,2.6583044652817524e-11
287500.0,2.515878129467952e-11
290000.0,2.38182e-11
292500.0,2.2554298914956507e-11
295000.0,2.1360979951845886e-11
297500.0,2.023242408893863e-11
300000.0,1.9163607203591576e-11
302500.0,1.815011834773207e-11
305000.0,1.718782936597635e-11
307500.0,1.62732079314757e-11
310000.0,1.5402983563885892e-11
312500.0,1.457522516365005e-11
315000.0,1.378858088433655e-11
317500.0,1.30408829528391e-11
320000.0,1.2328900000000001e-11
322500.0,1.1651434887326964e-11
325000.0,1.1015711726646902e-11
327500.0,1.0429557502961867e-11
330000.0,9.878318256108683e-12
332500.0,9.330248490471155e-12
335000.0,8.798597761404064e-12
337500.0,8.397998752609107e-12
340000.0,8.225206524916311e-12
342500.0,8.143466204272896e-12
345000.0,7.915920874557848e-12
347500.0,7.482404489853974e-12
350000.0,7.012920000000001e-12
352500.0,6.650125478604849e-12
355000.0,6.365769168760176e-12
357500.0,6.092084391670504e-12
360000.0,5.809373521868163e-12
362500.0,5.534910610180104e-12
365000.0,5.280142627481794e-12
367500.0,5.041391828836548e-12
370000.0,4.813489433741333e-12
372500.0,4.595371692772767e-12
375000.0,4.3877967228188314e-12
377500.0,4.1908307620959666e-12
380000.0,4.003629999999999e-12
382500.0,3.825387688408487e-12
385000.0,3.655688609503721e-12
387500.0,3.494203708842794e-12
390000.0,3.3404285780066837e-12
392500.0,3.1937252020964335e-12
395000.0,3.053744941776999e-12
397500.0,2.9207925401006203e-12
400000.0,2.795137150061465e-12
402500.0,2.6761315094934593e-12
405000.0,2.5627266657188667e-12
407500.0,2.4542235269708495e-12
410000.0,2.35038e-12
412500.0,2.250985196982822e-12
415000.0,2.1558308838789807e-12
417500.0,2.0647113436466406e-12
420000.0,1.9774485938845574e-12
422500.0,1.893886063899952e-12
425000.0,1.8138807759708477e-12
427500.0,1.737318854748899e-12
430000.0,1.6640898476833003e-12
432500.0,1.5940794964626798e-12
435000.0,1.5271740559806561e-12
437500.0,1.4633460350825923e-12
440000.0,1.4026800000000002e-12
442500.0,1.3451701126945788e-12
445000.0,1.2904189621138895e-12
447500.0,1.2379491159892826e-12
450000.0,1.1875505606847078e-12
452500.0,1.1392189556345682e-12
455000.0,1.0929157553292312e-12
457500.0,1.0485142837332953e-12
460000.0,1.0058844975990508e-12
462500.0,9.649595984011002e-13
465000.0,9.257008691009278e-13
467500.0,8.880594250837761e-13
470000.0,8.519730000000001e-13
472500.0,8.17380234132625e-13
475000.0,7.842269715908328e-13
477500.0,7.524608832377588e-13
480000.0,7.22030025942334e-13
482500.0,6.928827586401712e-13
485000.0,6.649684906656947e-13
487500.0,6.382389578777531e-13
490000.0,6.126464461593106e-13
492500.0,5.881449798908857e-13
495000.0,5.646894001328829e-13
497500.0,5.422360086615285e-13
500000.0,5.20743e-13
502500.0,5.001690182693157e-13
505000.0,4.80474e-13
507500.0,4.616188432778187e-13
510000.0,4.43567e-13
512500.0,4.2628273361940887e-13
515000.0,4.09731e-13
517500.0,3.938775972445455e-13
520000.0,3.78691e-13
522500.0,3.6414050240240895e-13
525000.0,3.50196e-13
527500.0,3.3682826814581853e-13
530000.0,3.24011e-13
532500.0,3.117186750143168e-13
535000.0,2.99926e-13
537500.0,2.886084067969141e-13
540000.0,2.77744e-13
542500.0,2.673118227980265e-13
545000.0,2.57292e-13
547500.0,2.476653020109796e-13
550000.0,2.38414e-13
552500.0,2.295210941580549e-13
555000.0,2.2097099999999996e-13
557500.0,2.1274894635680058e-13
560000.0,2.0484200000000003e-13
562500.0,1.972378704147427e-13
565000.0,1.8992500000000002e-13
567500.0,1.8289244698422862e-13
570000.0,1.76131e-13
572500.0,1.696322166483427e-13
575000.0,1.63389e-13
577500.0,1.5739468642240058e-13
580000.0,1.51643e-13
582500.0,1.4612866266205492e-13
585000.0,1.4085000000000003e-13
587500.0,1.3580428792937968e-13
590000.0,1.3098100000000004e-13
592500.0,1.263761856204263e-13
595000.0,1.2202e-13
597500.0,1.1792009458891515e-13
600000.0,1.1396e-13
602500.0,1.1003418602391315e-13
605000.0,1.06205e-13
607500.0,1.0255150256543224e-13
610000.0,9.905173000000002e-14
612500.0,9.566758996435783e-14
615000.0,9.239750000000001e-14
617500.0,8.924658632713646e-14
620000.0,8.62103e-14
622500.0,8.328236847709636e-14
625000.0,8.04593e-14
627500.0,7.77381272644781e-14
630000.0,7.51152e-14
632500.0,7.258682246499128e-14
635000.0,7.01498e-14
637500.0,6.780095787555675e-14
640000.0,6.55367e-14
642500.0,6.335373353278169e-14
645000.0,6.12504e-14
647500.0,5.92241204933165e-14
650000.0,5.7267e-14
652500.0,5.537302199395227e-14
655000.0,5.3549000000000006e-14
657500.0,5.180202903087439e-14
660000.0,5.0127500000000005e-14
662500.0,4.851886188255015e-14
665000.0,4.697350000000001e-14
667500.0,4.548956093892504e-14
670000.0,4.40643e-14
672500.0,4.2694856861749736e-14
675000.0,4.1378800000000004e-14
677500.0,4.011381161407603e-14
680000.0,3.8897600000000006e-14
682500.0,3.772793418194614e-14
685000.0,3.66028e-14
687500.0,3.5520239158139384e-14
690000.0,3.4478300000000005e-14
692500.0,3.347508418549631e-14
695000.0,3.250890000000001e-14
697500.0,3.15781115998754e-14
700000.0,3.06811e-14
702500.0,2.981629441500207e-14
705000.0,2.89823e-14
707500.0,2.81777732401163e-14
710000.0,2.74014e-14
712500.0,2.665190012453272e-14
715000.0,2.59281e-14
717500.0,2.5228876261752805e-14
720000.0,2.4553200000000005e-14
722500.0,2.3900069828456066e-14
725000.0,2.3268500000000003e-14
727500.0,2.265754442442294e-14
730000.0,2.2066400000000002e-14
732500.0,2.1494302473852164e-14
735000.0,2.09405e-14
737500.0,2.0404258180168397e-14
740000.0,1.9884900000000004e-14
742500.0,1.938178980547425e-14
745000.0,1.8894400000000002e-14
747500.0,1.842222009793461e-14
750000.0,1.7964700000000003e-14
752500.0,1.7521317302787305e-14
755000.0,1.70917e-14
757500.0,1.667549819091616e-14
760000.0,1.62723e-14
762500.0,1.5881714933548037e-14
765000.0,1.55035e-14
767500.0,1.5137429574891688e-14
770000.0,1.4783199999999996e-14
772500.0,1.4440529266885212e-14
775000.0,1.41093e-14
777500.0,1.3789403357567455e-14
780000.0,1.3480600000000002e-14
782500.0,1.318270730284497e-14
785000.0,1.28959e-14
787500.0,1.2620179931052657e-14
790000.0,1.23545e-14
792500.0,1.2098560472944391e-14
795000.0,1.18561e-14
797500.0,1.1628115677169777e-14
800000.0,1.14006e-14
802500.0,1.1161901818376497e-14
805000.0,1.0924800000000001e-14
807500.0,1.0703502049324233e-14
810000.0,1.04935e-14
812500.0,1.028751498432657e-14
815000.0,1.0085900000000001e-14
817500.0,9.890406763369484e-15
820000.0,9.70075e-15
822500.0,9.516271712195484e-15
825000.0,9.336860000000002e-15
827500.0,9.162503887848577e-15
830000.0,8.993050000000001e-15
832500.0,8.828321486410208e-15
835000.0,8.66819e-15
837500.0,8.512537666510594e-15
840000.0,8.36124e-15
842500.0,8.214172847547414e-15
845000.0,8.07122e-15
847500.0,7.932267193299738e-15
850000.0,7.7972e-15
852500.0,7.665905879253626e-15
855000.0,7.53828e-15
857500.0,7.414220539685756e-15
860000.0,7.29363e-15
862500.0,7.176411962003344e-15
865000.0,7.06247e-15
867500.0,6.95170911230086e-15
870000.0,6.84404e-15
872500.0,6.739376588793209e-15
875000.0,6.63764e-15
877500.0,6.538749532526298e-15
880000.0,6.442610000000001e-15
882500.0,6.3491390311016e-15
885000.0,6.25832e-15
887500.0,6.170093093067304e-15
890000.0,6.08416e-15
892500.0,6.000393596629182e-15
895000.0,5.91959e-15
897500.0,5.841911270415963e-15
900000.0,5.764060000000001e-15
902500.0,5.683222571706968e-15
905000.0,5.601980000000001e-15
907500.0,5.52342844275617e-15
910000.0,5.44733e-15
912500.0,5.3728286572683565e-15
915000.0,5.29993e-15
917500.0,5.228795678170406e-15
920000.0,5.1593500000000005e-15
922500.0,5.091477380050022e-15
925000.0,5.0251399999999995e-15
927500.0,4.9603123016295065e-15
930000.0,4.896940000000001e-15
932500.0,4.834965913431951e-15
935000.0,4.77435e-15
937500.0,4.715055294642688e-15
940000.0,4.6570400000000004e-15
942500.0,4.600261657997295e-15
945000.0,4.54468e-15
947500.0,4.4902568233681334e-15
950000.0,4.43696e-15
952500.0,4.3847572985301734e-15
955000.0,4.333609999999999e-15
957500.0,4.2834802325111745e-15
960000.0,4.23434e-15
962500.0,4.186163021425131e-15
965000.0,4.1389200000000006e-15
967500.0,4.0925814317883055e-15
970000.0,4.047120000000001e-15
972500.0,4.00250875142165e-15
975000.0,3.95872e-15
977500.0,3.915729812525095e-15
980000.0,3.8735300000000004e-15
982500.0,3.832100748477972e-15
985000.0,3.791360000000001e-15
987500.0,3.751272193563021e-15
990000.0,3.712050000000001e-15
992500.0,3.673735477269946e-15
995000.0,3.63544e-15
997500.0,3.5969146473571955e-15
1000000.0,3.5614e-15
1002500.0,3.531570933301271e-15
1005000.0,3.50435e-15
1007500.0,3.4762116194377203e-15
1010000.0,3.4475900000000005e-15
1012500.0,3.4196063389478487e-15
1015000.0,3.3921700000000005e-15
1017500.0,3.3649680247708867e-15
1020000.0,3.3380100000000008e-15
1022500.0,3.311365311968605e-15
1025000.0,3.28502e-15
1027500.0,3.2589444773546934e-15
1030000.0,3.23313e-15
1032500.0,3.2075717786126203e-15
1035000.0,3.18226e-15
1037500.0,3.1571859081948246e-15
1040000.0,3.13235e-15
1042500.0,3.1077445886080796e-15
1045000.0,3.0833200000000006e-15
1047500.0,3.059060737372857e-15
1050000.0,3.03513e-15
1052500.0,3.0116562119004925e-15
1055000.0,2.9884500000000003e-15
1057500.0,2.9653094150251723e-15
1060000.0,2.9423000000000005e-15
1062500.0,2.919524877998817e-15
1065000.0,2.89697e-15
1067500.0,2.8746023229795598e-15
1070000.0,2.85243e-15
1072500.0,2.8304662050829435e-15
1075000.0,2.8087029999999995e-15
1077500.0,2.787130231688665e-15
1080000.0,2.76575e-15
1082500.0,2.744566493162394e-15
1085000.0,2.72358e-15
1087500.0,2.702789170661758e-15
1090000.0,2.68219e-15
1092500.0,2.661779324190574e-15
1095000.0,2.6415600000000003e-15
1097500.0,2.621534782575947e-15
1100000.0,2.6017e-15
1102500.0,2.5820515455056397e-15
1105000.0,2.5625900000000005e-15
1107500.0,2.5433165354014946e-15
1110000.0,2.5242300000000004e-15
1112500.0,2.5053285628883814e-15
1115000.0,2.48661e-15
1117500.0,2.4680729630449788e-15
1120000.0,2.4497200000000003e-15
1122500.0,2.4315533349317032e-15
1125000.0,2.4135700000000003e-15
1127500.0,2.3957661972282076e-15
1130000.0,2.37814e-15
1132500.0,2.3606906261554647e-15
1135000.0,2.3434200000000005e-15
1137500.0,2.326330048149931e-15
1140000.0,2.3094200000000004e-15
1142500.0,2.2926879312448097e-15
1145000.0,2.27613e-15
1147500.0,2.2597432268708287e-15
1150000.0,2.24353e-15
1152500.0,2.227492911271876e-15
1155000.0,2.21163e-15
1157500.0,2.1959388780416687e-15
1160000.0,2.18042e-15
1162500.0,2.1650740765614487e-15
1165000.0,2.1499e-15
1167500.0,2.134896065712535e-15
1170000.0,2.12006e-15
1172500.0,2.1053904105884098e-15
1175000.0,2.09089e-15
1177500.0,2.0765610419338244e-15
1180000.0,2.0624e-15
1182500.0,2.0484029216762906e-15
1185000.0,2.03457e-15
1187500.0,2.0209022713610116e-15
1190000.0,2.0073999999999994e-15
1192500.0,1.9940629928796627e-15
1195000.0,1.9808899999999997e-15
1197500.0,1.9678795071203374e-15
1200000.0,1.95503e-15
